task,sigma_s,sigma_r,wb,wg,wr,error
a,2,0.1,0.5,0.2,0.3,9743796
a,2,0.1,0.5,0.1,0.4,10058911
a,2,0.1,0.5,0.0,0.5,10289548
a,2,0.1,0.6,0.4,0.0,8352084
a,2,0.1,0.6,0.3,0.1,8712489
a,2,0.1,0.6,0.2,0.2,9058837
a,2,0.1,0.6,0.1,0.3,9390739
a,2,0.1,0.6,0.0,0.4,9672257
a,2,0.1,0.7,0.3,0.0,7924713
a,2,0.1,0.7,0.2,0.1,8312443
a,2,0.1,0.7,0.1,0.2,8662443
a,2,0.1,0.7,0.0,0.3,8992981
a,2,0.1,0.8,0.2,0.0,7458308
a,2,0.1,0.8,0.1,0.1,7838814
a,2,0.1,0.8,0.0,0.2,8203649
a,2,0.1,0.9,0.1,0.0,6927749
a,2,0.1,0.9,0.0,0.1,7302264
a,2,0.1,1.0,0.0,0.0,6325658
a,2,0.2,0.0,1.0,0.0,10935705
a,2,0.2,0.0,0.9,0.1,11046142
a,2,0.2,0.0,0.8,0.2,11121465
a,2,0.2,0.0,0.7,0.3,11159840
a,2,0.2,0.0,0.6,0.4,11170460
a,2,0.2,0.0,0.5,0.5,11151198
a,2,0.2,0.0,0.4,0.6,11091232
a,2,0.2,0.0,0.3,0.7,10984190
a,2,0.2,0.0,0.2,0.8,10835316
a,2,0.2,0.0,0.1,0.9,10629814
a,2,0.2,0.0,0.0,1.0,10363357
a,2,0.2,0.1,0.9,0.0,10928784
a,2,0.2,0.1,0.8,0.1,11072074
a,2,0.2,0.1,0.7,0.2,11173103
a,2,0.2,0.1,0.6,0.3,11239094
a,2,0.2,0.1,0.5,0.4,11247553
a,2,0.2,0.1,0.4,0.5,11242138
a,2,0.2,0.1,0.3,0.6,11199899
a,2,0.2,0.1,0.2,0.7,11123547
a,2,0.2,0.1,0.1,0.8,10993558
a,2,0.2,0.1,0.0,0.9,10811371
a,2,0.2,0.2,0.8,0.0,10885062
a,2,0.2,0.2,0.7,0.1,11058394
a,2,0.2,0.2,0.6,0.2,11177265
a,2,0.2,0.2,0.5,0.3,11251767
a,2,0.2,0.2,0.4,0.4,11288596
a,2,0.2,0.2,0.3,0.5,11293595
a,2,0.2,0.2,0.2,0.6,11269928
a,2,0.2,0.2,0.1,0.7,11206577
a,2,0.2,0.2,0.0,0.8,11090939
a,2,0.2,0.3,0.7,0.0,10792976
a,2,0.2,0.3,0.6,0.1,10986938
a,2,0.2,0.3,0.5,0.2,11127641
a,2,0.2,0.3,0.4,0.3,11228032
a,2,0.2,0.3,0.3,0.4,11277719
a,2,0.2,0.3,0.2,0.5,11299345
a,2,0.2,0.3,0.1,0.6,11289678
a,2,0.2,0.3,0.0,0.7,11229102
a,2,0.2,0.4,0.6,0.0,10656444
a,2,0.2,0.4,0.5,0.1,10875942
a,2,0.2,0.4,0.4,0.2,11045440
a,2,0.2,0.4,0.3,0.3,11163208
a,2,0.2,0.4,0.2,0.4,11235370
a,2,0.2,0.4,0.1,0.5,11276770
a,2,0.2,0.4,0.0,0.6,11271668
a,2,0.2,0.5,0.5,0.0,10470775
a,2,0.2,0.5,0.4,0.1,10695217
a,2,0.2,0.5,0.3,0.2,10892647
a,2,0.2,0.5,0.2,0.3,11044850
a,2,0.2,0.5,0.1,0.4,11143914
a,2,0.2,0.5,0.0,0.5,11208144
a,2,0.2,0.6,0.4,0.0,10226084
a,2,0.2,0.6,0.3,0.1,10495423
a,2,0.2,0.6,0.2,0.2,10704743
a,2,0.2,0.6,0.1,0.3,10880331
a,2,0.2,0.6,0.0,0.4,10993129
a,2,0.2,0.7,0.3,0.0,9915569
a,2,0.2,0.7,0.2,0.1,10227600
a,2,0.2,0.7,0.1,0.2,10462129
a,2,0.2,0.7,0.0,0.3,10659302
a,2,0.2,0.8,0.2,0.0,9506648
a,2,0.2,0.8,0.1,0.1,9881108
a,2,0.2,0.8,0.0,0.2,10174165
a,2,0.2,0.9,0.1,0.0,8967545
a,2,0.2,0.9,0.0,0.1,9416180
a,2,0.2,1.0,0.0,0.0,8193217
a,3,0.05,0.0,1.0,0.0,14224156
a,3,0.05,0.0,0.9,0.1,14577856
a,3,0.05,0.0,0.8,0.2,14666334
a,3,0.05,0.0,0.7,0.3,14558744
a,3,0.05,0.0,0.6,0.4,14282275
a,3,0.05,0.0,0.5,0.5,13904382
a,3,0.05,0.0,0.4,0.6,13424850
a,3,0.05,0.0,0.3,0.7,12894376
a,3,0.05,0.0,0.2,0.8,12289649
a,3,0.05,0.0,0.1,0.9,11634272
a,3,0.05,0.0,0.0,1.0,11046525
a,3,0.05,0.1,0.9,0.0,13418796
a,3,0.05,0.1,0.8,0.1,14059363
a,3,0.05,0.1,0.7,0.2,14448807
a,3,0.05,0.1,0.6,0.3,14616650
a,3,0.05,0.1,0.5,0.4,14557784
a,3,0.05,0.1,0.4,0.5,14355944
a,3,0.05,0.1,0.3,0.6,14032079
a,3,0.05,0.1,0.2,0.7,13594909
a,3,0.05,0.1,0.1,0.8,12985188
a,3,0.05,0.1,0.0,0.9,12304644
a,3,0.05,0.2,0.8,0.0,12771996
a,3,0.05,0.2,0.7,0.1,13252263
a,3,0.05,0.2,0.6,0.2,13732927
a,3,0.05,0.2,0.5,0.3,14192447
a,3,0.05,0.2,0.4,0.4,14360427
a,3,0.05,0.2,0.3,0.5,14416327
a,3,0.05,0.2,0.2,0.6,14316903
a,3,0.05,0.2,0.1,0.7,13985450
a,3,0.05,0.2,0.0,0.8,13518865
a,3,0.05,0.3,0.7,0.0,12280804
a,3,0.05,0.3,0.6,0.1,12677853
a,3,0.05,0.3,0.5,0.2,13080014
a,3,0.05,0.3,0.4,0.3,13426533
a,3,0.05,0.3,0.3,0.4,13721656
